District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
FL-15,-82.32013,27.92766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,2,3,2,4,4,7,14,20,32,47,58,75,91,106,142,167,195,218,253,305,309,404,463,497,536,571,608,626,644,671,690,759,813,819,869,878,924,943,960,973,979,982,1008,1022,1041,1048,1062,1080,1105,1124,1163,1240,1281,1300,1324,1331,1364,1371,1400,1432,1448,1473,1494,1530,1568,1585,1614,1653,1670,1703,1767,1790,1823,1883,1939,1969,1995,2019,2069,2129,2201,2251,2285,2384,2479,2554,2643,2748,2861,2923,3027,3174,3295,3504,3613,3826,4029,4273,4610,4982,5319,5580,5973,6176,6892,7329,8018,9130,9918,10323,10752,11465,12376,13044,13700,14336,14677,15362,16099,16666,17662,18360,19150,19828,20508,21018,21557,22502,23103,23706,24135,24550,24891,25432,26037,26626,27077,27483,27823,28268,28742,29116,29589,30118,30450,30798,31197,31563,31865,32268,32587,32731,32996,33198,33428,33694,34040,34238,34368,34605,34851,35061,35293,35574,35721,35814,35953,36157,36354,36574,36784,37013,37136,37458,37668,37821,37981,38262,38426,38545,38652,38790,38917,39138,39298,39450,39600,39751,39888,40126,40349,40587,40751,40898,41016,41178,41351,41506,41722,41826,41947,42118,42248,42380,42565,42765,42891,43027,43166,43304,43578,43808,43808,44138,44256,44460,44652,44811,44999,45275,45455,45538,45798,45948,46300,46518,46790,46907,47080,47371,47596,47800,48148,48287,48669,48925,49150,49376,49794,50127,50380,50790,51055,51296,51635,52014,52330,52481,52907,53187,53432,53900,54326,54792,55257,55482,55835,56166,56497,56497,57371,57728,58092,58293,58749,59270,59809,60241,60761,61276,61599,62149,62439,63339,64281,64999,65502,66041,66548,67060,67801,68739,69530,70027,70849,71388,71957,72860,72860,73980,74368,74788,75547,76221,77118,77118,79472,80035,80586,81105,82257,83574,84714,85855,86509,87511,88217,89043,89989,90966,91632,92438,92891,93487,94012,94870,95477,96338,96795,97288,97809,98230,98900,99421,100334,100764,100990,101551,101910,102337,102944,103297,103599,103835,104210,104604,105142,105621,106060,106420,106661,106996,107513,107806
FL-16,-82.31831,27.47197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,4,4,4,7,8,9,10,13,13,15,16,22,26,28,30,33,39,53,58,89,104,129,136,144,162,171,175,198,203,236,252,261,276,309,326,362,417,433,443,445,473,491,497,508,533,563,567,580,591,607,619,636,684,722,737,742,756,776,783,795,806,813,826,834,849,867,888,893,933,946,958,975,988,990,996,1007,1022,1037,1045,1057,1074,1110,1134,1162,1177,1189,1219,1229,1245,1253,1309,1353,1377,1421,1483,1523,1548,1649,1786,1890,1977,2013,2132,2202,2368,2642,2737,2810,2856,3015,3175,3261,3554,3716,3785,3890,4080,4266,4432,4632,5112,5266,5419,5564,5914,6133,6280,6569,6738,6871,7078,7252,7520,7709,7859,7982,8090,8187,8337,8517,8655,8733,8825,8887,8938,9050,9124,9199,9288,9340,9395,9468,9554,9662,9735,9781,9843,9891,9924,9997,10059,10123,10170,10209,10241,10278,10310,10340,10391,10418,10426,10490,10532,10557,10601,10633,10656,10673,10699,10729,10772,10803,10868,10886,10932,10972,10985,11041,11087,11158,11210,11241,11279,11327,11352,11393,11436,11458,11486,11546,11579,11619,11681,11732,11766,11785,11848,11878,11943,11999,11999,12143,12173,12228,12270,12304,12365,12488,12538,12584,12648,12674,12761,12842,12930,12971,13023,13114,13175,13258,13403,13463,13550,13699,13753,13842,13892,13944,13989,14114,14186,14281,14400,14480,14522,14553,14772,14855,15040,15147,15343,15511,15614,15723,15904,16065,16218,16218,16474,16570,16703,16860,17006,17164,17324,17450,17606,17713,17800,18008,18182,18351,18512,18720,18812,19020,19212,19389,19612,19879,20058,20171,20355,20623,20822,21031,21031,21277,21406,21539,21711,21980,22332,22332,22712,22920,23044,23338,23690,24000,24278,24530,24755,24871,25134,25379,25542,25743,25881,26102,26175,26267,26602,26755,26990,27224,27381,27464,27641,27716,27924,28160,28468,28589,28702,28914,28948,29041,29230,29323,29466,29547,29690,29828,29972,30118,30256,30333,30384,30557,30737,30763
FL-17,-81.95478,27.17604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,2,2,3,6,7,10,16,19,27,34,35,47,56,77,83,102,127,133,185,208,224,243,264,302,325,345,372,409,427,445,461,475,489,508,521,532,541,552,559,605,636,644,649,668,690,702,733,764,781,795,825,849,886,911,927,944,971,988,1005,1012,1085,1109,1115,1142,1174,1203,1235,1288,1319,1357,1394,1417,1437,1448,1480,1547,1577,1616,1629,1690,1730,1776,1859,1906,1954,1994,2023,2075,2120,2188,2253,2324,2386,2452,2497,2554,2670,2794,2901,2992,3097,3244,3345,3559,3869,3939,4094,4193,4380,4601,4810,5167,5343,5430,5544,5717,5903,6185,6376,6918,7202,7490,7784,8169,8464,8801,9146,9330,9528,9800,10034,10404,10810,10975,11167,11435,11571,11801,12076,12290,12485,12657,12750,12905,13095,13270,13491,13658,13756,13915,14055,14211,14408,14568,14669,14752,14818,14932,15056,15179,15326,15431,15454,15534,15595,15680,15776,15858,15933,15992,16093,16174,16252,16332,16455,16544,16612,16669,16718,16753,16871,16972,17052,17107,17168,17259,17352,17474,17618,17707,17755,17831,17915,18029,18136,18275,18352,18375,18458,18502,18585,18666,18780,18849,18904,18976,19097,19220,19323,19323,19510,19576,19668,19790,19918,20034,20143,20236,20283,20418,20495,20661,20757,20886,20985,21115,21283,21409,21565,21709,21792,21941,22164,22300,22477,22649,22802,22977,23197,23318,23455,23829,23986,24192,24372,24724,24899,25279,25508,26183,26618,26957,27151,27432,27805,28116,28116,28822,28986,29293,29514,29784,30110,30435,30728,31095,31429,31667,31935,32263,32612,32971,33259,33518,33721,33945,34310,34757,35035,35376,35600,35889,36184,36576,36962,36962,37506,37703,37875,38257,38694,39199,39199,40102,40519,40773,41327,42075,42698,43312,43766,44151,44410,44945,45393,45694,46367,46654,46878,47097,47404,47713,48070,48632,48911,49130,49290,49493,49688,49966,50341,50842,51064,51198,51520,51691,51878,52108,52349,52512,52641,52815,53040,53264,53449,53626,53756,53890,54029,54274,54407
FL-18,-80.45812,27.28032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,10,12,18,30,46,49,56,66,69,82,102,129,142,183,216,231,241,255,263,274,290,300,310,328,339,344,353,359,366,368,386,392,394,402,419,424,425,438,446,453,459,475,477,489,504,518,525,537,545,564,574,582,607,612,644,705,733,755,821,839,869,885,914,948,970,981,1050,1089,1122,1125,1172,1237,1299,1371,1456,1534,1571,1603,1654,1780,1849,1964,2053,2144,2277,2348,2381,2552,2629,2739,2808,2860,2972,3057,3154,3426,3562,3670,3779,3924,4027,4191,4360,4502,4686,4816,4936,5028,5295,5419,5596,5925,6034,6144,6286,6434,6558,6735,6858,7000,7146,7318,7510,7704,7821,7997,8199,8332,8464,8593,8732,8847,8900,8987,9085,9226,9392,9497,9597,9662,9772,9831,9923,10032,10105,10177,10220,10293,10377,10473,10591,10652,10711,10742,10832,10946,11044,11258,11359,11425,11489,11653,11665,11707,11764,11817,11856,11892,11926,11938,11930,11996,12070,12102,12139,12240,12274,12349,12408,12509,12547,12581,12626,12682,12742,12812,12873,12890,12903,12962,13018,13062,13110,13166,13190,13222,13244,13280,13329,13376,13376,13453,13468,13505,13545,13601,13658,13731,13772,13797,13852,13901,13980,14041,14133,14180,14218,14297,14366,14429,14490,14536,14604,14650,14720,14806,14897,14969,15039,15087,15139,15197,15261,15343,15407,15472,15552,15634,15708,15813,15914,16046,16128,16212,16301,16415,16554,16554,16813,16916,16971,17057,17163,17317,17463,17592,17733,17868,17997,18136,18273,18448,18630,18797,18897,18977,19116,19286,19547,19818,20002,20159,20353,20549,20725,20927,20927,21210,21404,21520,21657,21850,22117,22117,22797,22965,23145,23332,23662,24081,24429,24707,24933,25129,25407,25644,25916,26260,26485,26623,26784,26942,27177,27385,27612,27803,27931,28098,28284,28457,28651,28802,29014,29140,29267,29469,29586,29770,29951,30071,30174,30239,30359,30491,30659,30807,30947,31057,31133,31280,31422,31540
FL-19,-81.88399,26.58410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,4,4,5,5,5,10,11,14,17,26,30,32,42,56,76,101,124,164,206,212,275,304,348,379,397,434,462,496,547,584,617,642,657,677,687,721,739,769,785,795,794,887,940,944,961,971,990,1003,1021,1067,1085,1118,1138,1160,1176,1212,1219,1249,1268,1285,1317,1332,1350,1385,1401,1456,1481,1520,1542,1585,1666,1677,1699,1736,1759,1767,1802,1847,1894,1908,1943,1967,2087,2147,2200,2253,2289,2315,2388,2422,2500,2563,2634,2836,2877,3015,3187,3354,3475,3556,3627,3666,3745,3944,4062,4757,4956,5188,5363,5588,5869,6223,6668,7215,7498,7661,7859,8125,8340,8574,8848,10123,10344,10631,10849,11721,12043,12397,12711,12906,13125,13395,13768,14046,14292,14415,14540,14716,14877,15137,15416,15551,15674,15799,15874,15961,16090,16248,16431,16529,16632,16718,16872,17039,17178,17305,17401,17451,17495,17596,17730,17816,17956,18009,18064,18140,18217,18332,18461,18584,18634,18673,18824,18878,18960,19018,19099,19134,19176,19210,19241,19309,19370,19451,19488,19525,19566,19617,19733,19807,19884,19964,20025,20063,20124,20191,20244,20326,20377,20388,20445,20516,20586,20638,20743,20780,20824,20862,20944,21089,21175,21175,21332,21363,21438,21489,21613,21753,21883,21962,22023,22117,22198,22341,22480,22619,22711,22887,23058,23195,23335,23517,23589,23685,23834,23980,24152,24328,24508,24655,24842,24929,25067,25316,25457,25716,25885,26226,26438,26702,26989,27275,27585,27891,28115,28279,28608,28881,28881,29334,29613,29868,30113,30457,30856,31243,31571,31897,32209,32476,32790,33132,33431,33829,34177,34478,34717,35031,35353,35759,36145,36520,36795,37170,37507,37909,38288,38288,38575,39003,39332,39679,40169,40635,40635,41313,41916,42368,42845,43327,43871,44395,44819,45282,45650,46104,46551,46981,47422,47803,48145,48438,48778,49116,49493,49890,50278,50625,50892,51203,51455,51814,52073,52420,52653,52820,53081,53332,53549,53786,54020,54234,54373,54549,54762,55001,55176,55346,55513,55652,55830,56006,56126
FL-20,-80.47888,26.34126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,7,13,25,41,41,61,91,125,170,220,289,352,412,473,673,808,1106,1171,1575,1770,1799,2218,2456,2719,2886,3136,3366,3564,3714,4033,4247,4591,4881,5001,5177,5333,5776,5976,6141,6338,6488,6631,6985,7191,7273,7426,7557,7724,7809,7916,8185,8337,8442,8694,8882,9033,9264,9303,9578,9728,9771,10066,10174,10335,10524,10641,10767,10980,11068,11183,11482,11652,11789,11898,12115,12228,12280,12411,12740,12965,13119,13331,13467,13816,14150,14431,14764,15034,15253,15553,15871,16224,16798,17306,17761,18101,18760,19284,19965,20564,21343,21909,22270,22924,23753,24424,25818,26974,28009,28756,29774,30602,31975,33553,35724,38075,39098,40233,42012,43758,45938,48100,51043,53290,55093,56941,59277,61274,63176,65066,67402,69528,71253,73277,75580,77894,79675,81742,83255,85141,87008,88685,90651,92201,93081,93882,94637,95795,96860,98214,99288,100195,101246,102014,102949,103944,104913,105576,106100,106653,107196,107954,108699,109278,109706,110129,110437,110896,111342,112071,112494,112815,113086,114632,114889,115277,115642,116017,116360,116613,116865,117118,117401,117808,118146,118459,118664,118994,119291,119731,120172,120655,121011,121226,121546,121889,122195,122543,122883,123137,123184,123607,123772,124131,124464,124724,125013,125165,125380,125758,126139,126443,126443,127287,127438,127787,128213,128608,129117,129690,130118,130345,130835,131084,132009,132694,133481,133975,134778,135510,136398,137228,138275,138682,139740,140607,141470,142183,143444,144375,145174,146446,147257,147849,148657,149564,150875,151529,153707,154488,155854,157131,158596,160049,161593,162835,164025,165335,166586,166586,169384,170547,171709,172896,174261,175787,177623,179365,181110,182546,183757,185269,186742,188491,190203,191676,192874,193919,195054,196881,198780,200910,202545,203842,205398,206706,208084,209830,209830,212023,213136,214345,215972,217937,220500,220500,225082,226489,228268,230025,232273,235053,238002,240217,242082,244066,245940,247709,249938,252537,254333,256304,257737,259206,261003,262928,264915,266876,268425,269993,271495,272515,274384,276249,278773,280106,281271,282852,283891,285363,287427,288755,289972,291182,292317,293794,295383,296681,298193,299240,300110,301208,302625,303641
FL-25,-81.32395,26.16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,6,13,18,25,28,33,39,41,47,65,81,92,96,122,150,154,182,208,227,238,255,280,287,303,332,360,381,398,403,421,443,476,496,504,514,523,535,566,590,599,617,630,640,661,679,702,724,741,764,771,797,834,845,870,897,917,1002,1029,1058,1095,1128,1159,1228,1254,1286,1352,1410,1444,1532,1603,1642,1673,1755,1841,1919,1954,2011,2051,2155,2315,2395,2520,2597,2635,2700,2810,2881,2961,3052,3164,3242,3388,3492,3583,3716,3844,3918,3969,4155,4252,4331,4629,4861,5010,5085,5178,5356,5532,5722,5932,6104,6177,6312,6562,6712,6923,7131,7416,7706,7998,8160,8386,8639,8924,9170,9323,9485,9676,9852,10081,10220,10307,10443,10658,10784,10973,11213,11311,11386,11478,11588,11744,11827,11927,12015,12096,12231,12292,12344,12479,12586,12718,12770,12802,12863,12907,12995,13061,13124,13179,13206,13296,13324,13426,13474,13530,13573,13584,13775,13800,13836,13880,13945,13988,14024,14052,14075,14101,14140,14183,14227,14257,14280,14300,14358,14405,14466,14512,14533,14566,14616,14644,14680,14725,14750,14761,14804,14827,14866,14891,14947,14997,15009,15053,15104,15188,15242,15242,15349,15380,15452,15510,15569,15635,15735,15775,15813,15883,15931,16036,16107,16213,16278,16334,16449,16535,16627,16769,16825,16906,16997,17101,17182,17282,17372,17461,17557,17612,17746,17876,17934,18063,18179,18292,18386,18491,18699,18848,19031,19173,19295,19385,19540,19714,19714,20035,20132,20181,20254,20419,20672,20895,21124,21345,21537,21657,21779,22018,22191,22398,22605,22703,22806,23017,23191,23411,23578,23755,23835,24012,24118,24341,24585,24585,24753,24897,25239,25387,25541,25797,25797,26272,26462,26631,26780,26978,27208,27532,27873,28037,28184,28457,28736,28934,29165,29429,29595,29703,29824,30023,30231,30465,30641,30797,30897,31049,31205,31420,31558,31758,31861,31921,32085,32211,32303,32458,32565,32642,32706,32832,32938,33049,33152,33247,33328,33403,33472,33574,33699
FL-26,-80.55905,25.60562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13,13,40,76,101,125,170,228,280,341,408,628,779,1023,1214,1656,2150,2229,2924,3404,3932,4190,4526,5046,5405,5797,6174,6545,7117,7523,7776,8132,8392,8892,9118,9427,9730,10129,10226,10662,11003,11082,11429,11649,11910,12005,12142,12468,12712,12855,13172,13304,13451,13665,13744,13930,14095,14259,14480,14564,14837,15106,15461,15758,15963,16041,16134,16467,16623,16801,16953,17148,17275,17332,17503,17749,17934,18108,18248,18333,18565,18889,19166,19409,19658,19870,20094,20393,20668,20993,21761,22046,22327,22872,23410,24000,24526,25238,25952,26404,26988,27953,28852,30398,31766,33933,35458,37079,38231,40561,42633,45066,47378,49372,51456,54401,56406,58811,61412,65016,68324,70444,72987,76140,78635,81836,85097,87929,90492,93323,96066,99512,102968,105881,108460,111527,114341,117146,119762,122532,124047,125023,126148,127353,129115,130865,132731,133987,135154,136678,140827,142561,144265,146029,146940,147669,148640,149759,150837,151992,152908,153679,154306,155080,155835,156461,157132,157757,158286,158644,160802,161147,161731,162223,162776,163127,163398,163788,164196,164661,165153,165570,165865,166086,166475,166938,167394,167781,168320,168690,168961,169326,169693,170089,170603,170978,171261,171303,171931,172247,172737,173247,173737,174074,174278,174735,175175,175635,176039,176039,177076,177355,177808,178250,178811,179361,179931,180403,180806,181379,181745,182628,183168,183811,184128,184722,185464,186225,186938,187842,188195,189143,190123,191037,191758,193205,194360,195185,196924,197475,197878,198637,199897,201816,203011,205454,206493,208390,210113,212131,214321,216290,218057,219582,221451,223618,223618,227444,228953,231009,232999,235153,237480,239788,242328,244596,246619,248668,250556,252706,255013,257173,259259,261678,263977,266166,268563,271190,273685,276094,278127,280454,282791,285065,287395,287395,290799,292459,294531,297370,300133,303099,303099,308520,310084,312631,316018,319169,322644,326138,328895,331303,333420,336386,339004,341568,344318,346759,349187,351050,352958,355276,357462,359809,362173,363959,366015,367800,369341,371389,373425,375974,377489,378795,380714,381965,383424,386171,387651,389081,390458,391930,393455,395047,396703,398404,399551,400085,401428,402852,403676
GA-01,-81.59123,31.58169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,3,5,7,9,11,19,19,25,29,38,46,51,77,96,122,148,167,195,237,292,323,339,353,370,382,406,430,445,460,496,510,523,539,544,564,582,598,603,605,621,641,651,669,691,694,701,716,760,791,811,835,859,882,904,943,965,983,1025,1036,1036,1065,1121,1183,1230,1276,1302,1324,1351,1426,1459,1505,1544,1577,1599,1634,1654,1688,1722,1768,1804,1808,1828,1860,1876,1933,1975,2043,2055,2107,2140,2200,2229,2364,2412,2495,2577,2800,2893,3047,3175,3278,3294,3365,3906,4091,4421,4760,5071,5190,5410,5548,5808,5939,6441,6748,6959,7280,7541,7804,8045,8332,8750,9047,9270,9628,9909,10378,10685,10912,11088,11366,11702,11890,12189,12376,12700,12858,13060,13351,13631,13802,14043,14319,14506,14683,14981,15216,15411,15637,15815,15966,16108,16220,16353,16586,16745,16959,17054,17193,17282,17407,17579,17752,17880,17972,18068,18205,18303,18527,18651,18813,18915,18960,19134,19303,19444,19584,19699,19835,19918,20043,20184,20355,20464,20614,20692,20748,20873,21033,21156,21256,21331,21385,21417,21503,21587,21659,21753,21860,21898,21933,22006,22068,22127,22221,22316,22395,22467,22530,22589,22685,22813,22948,23026,23078,23185,23267,23339,23421,23513,23587,23647,23762,23881,23990,24045,24145,24185,24202,26176,26305,26481,26551,26625,26715,26811,26918,27067,27194,27381,27520,27574,27628,27822,27946,28147,28311,28502,28580,28673,28830,29017,29231,29329,29453,29499,29544,29677,29902,30145,30308,30507,30564,30772,30921,31110,31423,31634,31887,32062,32167,32424,32729,33068,33418,33606,33780,33972,34416,34873,35396,35630,35795,35947,36144,36475,36930,37361,37701,38084,38417,38602,38968,39584,40020,40606,41106,41445,41718,42164,42590,43147,43655,44114,44351,44522,45155,45577,46050,46561,47107,47340,47480,47821,48373,48849,49189,49622,49799,49919,50235,50596,50954,51280,51539,51701,51778,52032,52293,52554,52843,53153,53226,53341,53552,53719,53978
GA-02,-84.30219,32.14373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,8,8,9,28,69,74,82,95,138,179,245,310,337,392,438,806,862,922,1052,1226,1320,1437,1958,2112,2253,2427,2524,2652,2839,3121,3177,3312,3565,3641,3726,3806,3838,4042,4136,4181,4228,4259,4347,4420,4548,4612,4701,4741,4777,4839,4875,4936,4994,5058,5072,5106,5139,5244,5293,5337,5399,5406,5406,5461,5517,5553,5648,5714,5774,5814,5872,5966,6047,6063,6120,6136,6175,6319,6395,6479,6540,6628,6676,6686,6742,6863,6932,7030,7109,7171,7201,7248,7389,7474,7520,7605,7640,7681,7760,7959,8067,8185,8314,8410,8453,8544,8825,9031,9235,9520,9791,10027,10127,10378,10717,10940,11422,11586,11712,11952,12295,12584,12802,12994,13320,13486,13627,13908,14081,14458,14740,14983,15142,15293,15586,15910,16304,16552,16865,17057,17256,17426,17731,17956,18204,18524,18721,18872,19130,19410,19571,19886,20061,20279,20430,20695,20860,21067,21273,21537,21650,22564,22724,22877,23061,23196,23333,23382,23518,23669,23848,24018,24131,24292,24389,24427,24558,24688,24859,24942,25120,25244,25326,25435,25585,25711,25857,25988,26055,26116,26161,26251,26365,26488,26579,26644,26696,26738,26855,26954,27028,27116,27161,27213,27273,27343,27439,27516,27616,27680,27728,27785,27867,27956,28038,28088,28147,28192,28248,28323,28387,28486,28560,28600,28642,28719,28783,28871,28964,29094,29137,29184,31085,31215,31314,31459,32445,31630,31691,31935,32036,32223,32353,32481,32552,32606,32679,32825,32975,33103,33282,33357,33418,33610,33781,33951,34047,34139,34246,34390,34759,35071,35359,35646,35910,35970,36372,36610,36980,37463,37822,38195,38421,38582,38946,39378,39769,40174,40474,40697,40890,41327,41789,42391,42684,42897,43097,43299,43874,44447,45188,45770,46247,46619,47026,47710,48346,48896,49666,50415,50820,51172,51817,52397,53032,53642,54128,54418,54682,55114,55676,56165,56719,57266,57568,57807,58268,58733,59284,59747,60191,60390,60543,60962,61295,61636,62005,62266,62417,62528,62787,62995,63216,63374,63581,63650,63760,63981,64222,64538
