Key,Name,States,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20
458,Richmond-Connersville, IN,-85.10066,39.74139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,13,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13
462,Rochester-Austin, MN,-92.42798,43.93745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,6,7,7,7,7,7,7,7,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,15,15,15,15,15,15,15,15,15
464,Rochester-Batavia-Seneca Falls, NY,-77.75621,43.13226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,4,5,5,6,9,10,11,12,16,21,28,34,37,43,43,43,43,54,60,61,68,68,68,74,77,88,88,105,121,121,131,136,136,141,143,153,153,153,163,163,172,172,178,182,182,182,198,198,205,212,214,214,214,224,224,224,224,238,238,246,246,260,260,278,278,278,282,282,282,301,301,301,307,307,307,307,307,327,327,327
466,Rockford-Freeport-Rochelle, IL,-89.13041,42.32382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,4,4,4,5,5,5,5,6,6,7,7,7,8,12,12,15,16,17,17,18,20,20,21,21,23,28,29,30,31,33,34,36,37,38,43,47,47,49,50,52,54,56,57,63,66,69,70,71,71,72,73,76,77,77,77,78,82,86,91,96,95,96,99,101,104,106,107,107
468,Rocky Mount-Wilson-Roanoke Rapids, NC,-77.66902,36.03837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,6,6,6,6,7,7,7,7,8,9,9,11,11,11,12,12,12,16,17,19,20,20,21,21,21,21,22,24,26,26,26,26,29,29,29,29,30,31,32,32,33,33,35,35,35,35,35,36,36,38,38,38,38,38,39,39,39,40,40,40,41,41,42,42,42,42
472,Sacramento-Roseville, CA,-121.48858,38.60275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,4,4,4,4,6,6,7,7,8,8,9,10,10,10,13,14,15,23,25,28,31,42,34,35,37,39,41,47,51,51,53,54,55,57,58,66,67,67,67,68,69,70,71,70,70,71,78,78,79,81,82,82,82,82,84,85,88,88,88,89,90,90,90,90,91,91,91,91,91,91,92,92,93,93,95,95,95,95,96,96,96,98,98,99,100,100,116,116
474,Saginaw-Midland-Bay City, MI,-84.05889,43.42189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,8,9,11,11,13,17,21,23,24,28,29,29,35,38,41,44,46,49,50,55,63,68,71,78,81,81,86,88,93,98,99,103,103,105,108,111,116,120,123,123,126,126,128,131,132,136,137,137,138,141,142,142,143,143,144,145,145,145,149,149,149,151,151,151,154,154,154,155
476,St. Louis-St. Charles-Farmington, MO-IL,-90.32361,38.62398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,7,10,10,12,14,21,31,36,47,54,68,79,97,106,117,128,137,149,169,188,204,210,218,241,261,283,297,325,348,363,385,399,418,441,458,475,490,501,539,556,580,602,619,631,649,662,691,704,723,737,746,759,779,791,801,808,817,822,828,838,841,850,858,875,881,882,891,903,908,914,922,925,930,938,947,949,947,954,954
480,Salisbury-Cambridge, MD-DE,-75.44259,38.56485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,11,11,18,18,18,20,24,27,29,30,35,39,42,45,48,49,52,59,65,69,74,78,83,85,88,91,97,106,111,111,113,115,122,129,134,139,142,143,145,148,150,152,152,156,163,165,169,172,179,180,181,181,184,185,195,198,200,202,202,204,204,205,206,208,209
482,Salt Lake City-Provo-Orem, UT,-111.89574,40.64554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,6,6,7,7,12,12,12,12,12,12,12,12,12,12,12,20,22,24,25,29,29,32,36,37,37,37,37,41,42,42,45,46,46,51,53,56,56,60,61,62,67,69,69,70,71,73,73,80,82,84,85,89,89,90,92,96,97,98,103,104,104,104,108,108,111,112,112,115,118,119,122,129,129,129
